Frequency,Nominal,Min,Max
125000,16471.67027743993,16299.497868478424,16644.47199833197
128000,16474.801265557373,16302.315770217017,16647.928795073887
130000,16476.910268240477,16304.216701087458,16650.253466844264
132000,16479.03566239534,16306.134785173545,16652.593005213555
135000,16482.252653942152,16309.042703906605,16656.127781567895
138000,16485.501738577022,16311.985643094898,16659.689722572206
140000,16487.684146057967,16313.965956221133,16662.07749801786
142000,16489.87857019322,16315.960159732109,16664.474391864675
145000,16493.19068621008,16318.975983208775,16668.084128343664
148000,16496.524486167742,16322.01907913716,16671.707328347624
150000,16498.75741510173,16324.061735202698,16674.128096880842
155000,16504.36864023569,16329.211566107577,16680.188693962446
160000,16510.00780239295,16334.413210972583,16686.24402802889
165000,16515.65744089146,16339.653762727328,16692.27097608792
170000,16521.29915765244,16344.919648090829,16698.245132590455
175000,16526.913580109507,16350.196602667142,16704.140756804994
180000,16532.480323005635,16355.469645245608,16709.93071879135
185000,16537.97794913304,16360.723051328961,16715.58644409539
190000,16543.383929082927,16365.940325917498,16721.077857309363
195000,16548.67460008489,16371.104175584165,16726.373324668053
200000,16553.825124030187,16376.196479881819,16731.43959587918
205000,16558.80944478878,16381.1982621316,16736.241745417494
210000,16563.600244947767,16386.08965964961,16740.7431135462
215000,16568.168902117446,16390.849893478065,16744.90524736631
220000,16572.48544497265,16395.457237697094,16748.68784223506
225000,16576.51850921903,16399.888988404142,16752.04868393831
230000,16580.235293699134,16404.121432459793,16754.94359204849
235000,16583.60151687912,16408.129816111163,16757.326364950866
240000,16586.581373985857,16411.88831361853,16759.148727073843
245000,16589.137495094285,16415.369996024776,16760.360278917065
250000,16591.230904497857,16418.546800223892,16760.90845053052
255000,16592.820981729255,16421.389498501183,16760.738459161523
260000,16593.86542463482,16423.86766873637,16759.793271851864
270000,16594.139586822417,16427.60259213088,16755.337743655597
275000,16593.275998911813,16428.792274474894,16751.70183599247
280000,16591.680110457113,16429.483235844986,16747.039573259568
285000,16589.300762096664,16429.63867421414,16741.282347099288
290000,16586.08496199038,16429.220441534257,16734.359230973005
295000,16581.977877977602,16428.189025670163,16728.10633142036
300000,16576.922836508063,16426.50353530017,16724.62363768147
305000,16570.861329131218,16418.983461721236,16720.350104504436
310000,16563.733027369755,16409.280193418886,16715.23835969172
315000,16555.475806841263,16398.154154172764,16709.239580310565
320000,16546.02578152623,16385.525236250876,16702.303502750903
330000,16523.283248347252,16355.428639782374,16685.411300704254
340000,16494.961138267,16318.312573816687,16664.13163341567
350000,16460.491213162662,16273.474729927693,16638.013156948873
360000,16419.28473176604,16220.194724281888,16606.58499815357
370000,16370.736969014324,16157.742197511037,16569.359095445554
390000,16249.154249283067,16002.409591322894,16475.495074079445
400000,16174.887615654745,15908.117415595225,16417.826564179562
410000,16090.834256682927,15801.857496930525,16352.309906942633
420000,15996.420913976806,15683.03465814633,16278.43398151261
432000,15868.69890201716,15523.138895219416,16178.05049379447
445000,15711.675251070752,15327.84049434038,16053.969383113541
458000,15534.408516494763,15109.014408478397,15913.028055260445
475000,15271.05869077759,14787.093932447999,15701.9591779807
488000,15045.205563856884,14513.993765883673,15519.322087309638
500000,14817.991778717773,14242.005446546667,15334.04564155002
515000,14509.31183909835,13876.894981527797,15079.807241417488
530000,14174.574696868236,13486.641999881915,14800.715899572777
550000,13691.49745988907,12933.747516427276,14391.48959276848
565000,13305.394487997894,12500.487787864715,14058.710687987443
580000,12902.836060983913,12056.842529902355,13706.862797817126
600000,12347.523566737771,11458.242091422426,13236.537401481062
615000,11922.775521452282,11009.63777814303,12866.197961591468
630000,11495.926372483793,10567.513530478129,12484.323903292983
645000,11071.394736251066,10139.021208981754,12094.385882860988
660000,10653.38861138818,9727.219208825158,11699.991613742484
675000,10245.788731960236,9332.453654978275,11304.771798561605
688000,9903.642813166702,9007.8674409329,10964.32501428973
700000,9598.775409322014,8724.051218906783,10653.788889903311
715000,9234.551338789997,8391.960767823026,10273.175830682037
732000,8846.876371351058,8047.368810029661,9855.357784498463
750000,8467.895666993176,7720.141229811285,9432.541219514667
765000,8178.072501893073,7477.015639139481,9098.131564082354
780000,7912.437183393411,7260.261188912125,8781.803188080752
800000,7595.978829286409,7010.756424685143,8390.272791728808
820000,7321.850683831362,6803.774118644527,8035.024010027558
840000,7088.325888480799,6635.855146734653,7716.925731894563
860000,6892.949455605076,6503.144588497599,7435.892630249507
880000,6732.749615396787,6401.619103013961,7209.043102169625
900000,6604.435403539218,6327.275977772966,7018.22519792437
920000,6504.5724383822935,6276.278945717429,6859.484934004496
940000,6429.730659889654,6245.060420356006,6730.074074198649
960000,6376.600474493123,6230.383852605191,6627.09729773743
980000,6342.076787998633,6213.8490379922505,6547.6307370703025
1000000,6323.31316531602,6208.694145872711,6488.81813274206
1020000,6317.75033960522,6214.673508171897,6468.856031748317
1040000,6323.124315788683,6223.118955723625,6498.445899105326
1060000,6337.459461569442,6222.371852966502,6533.172790272048
1080000,6359.051498744729,6218.029099837277,6571.807226321589
1100000,6386.444480117315,6223.3177161734375,6613.331965540755
1120000,6418.404899134369,6236.573366978021,6656.910782886441
1150000,6472.687039663449,6268.288130452552,6724.671482885785
1180000,6532.142989939885,6309.829575433487,6793.759512556388
1200000,6573.584096645369,6339.291574816619,6839.902003164064
1220000,6615.881665596484,6371.710808390709,6885.767834309682
1250000,6680.078618277823,6424.417185438027,6953.569350840369
1280000,6744.270375225233,6480.394441574694,7019.694323927532
1300000,6786.678277305419,6518.809566110232,7062.65675662055
1320000,6828.575396325626,6557.703034423719,7104.632123657759
1350000,6890.184139393763,6616.3508643014875,7165.635504340306
1380000,6950.0313310363,6674.735732173644,7224.20099417844
1400000,6988.843423171748,6713.241523315216,7261.869390058879
1420000,7026.737286789432,6751.268791809945,7298.437444718708
1450000,7081.801025331781,6807.209152120181,7351.246229165515
1480000,7134.69553707667,6861.623802483423,7401.650365454703
1500000,7168.749932728274,6896.971727262057,7433.9516792055265
1550000,7249.710330602338,6981.881076038154,7510.331327022295
1600000,7324.89085091652,7061.688904500503,7580.807295578521
1650000,7394.601934457552,7136.394316371236,7645.828487357024
1700000,7459.202189387844,7206.144927164273,7705.841567296265
1750000,7519.065632243589,7271.173051508208,7761.2747098525015
1800000,7574.562137860359,7331.754802000356,7812.529165099667
1850000,7626.046228517247,7388.184149508279,7859.975569415362
1900000,7673.851103723347,7440.756751270224,7903.953086003952
1950000,7718.285934133044,7489.760149150491,7944.770182941096
2000000,7759.635156858043,7535.4681102581235,7982.706308530995
2050000,7798.158965532159,7578.13764571365,8018.014007764934
2100000,7834.0944811423105,7618.007743408586,8050.9212024931
2150000,7867.657278085577,7655.299179356924,8081.633470571219
2200000,7899.043061542411,7690.214989212927,8110.336230052292
2250000,7928.429370822499,7722.941325235824,8137.1967787450285
2300000,7955.977234022274,7753.648519429945,8162.366166812661
2350000,7981.832731893237,7782.492237099585,8185.9808966787905
2400000,8006.128449570179,7809.61464733758,8208.164454260079
2450000,8028.984807852778,7835.145565076817,8229.028680972322
2500000,8050.511273753393,7859.203537956622,8248.674998670229
2550000,8070.80745477534,7881.896863511048,8267.195500720496
2600000,8089.964084025403,7903.324530162653,8284.673922438265
2700000,8125.182461734738,7942.737399347614,8316.802754600934
2750000,8141.388812473965,7960.881428027559,8331.586137801354
2800000,8156.746159520346,7978.0788132388825,8345.594672594554
2850000,8171.312418746242,7994.393491964401,8358.881474164755
2900000,8185.140726507981,8009.884219922189,8371.495232973219
2950000,8198.279893599258,8024.60504797169,8383.480642105604
3000000,8210.774811650077,8038.605751494832,8394.878778526867
3050000,8222.666817216044,8051.932217344823,8405.727443602615
3100000,8233.9940182369,8064.626792600025,8416.061467602249
3150000,8244.791587026231,8076.728598995473,8425.912982330126
3200000,8255.092023486655,8088.273816547284,8435.311665528932
3300000,8274.319533668533,8109.826007762137,8452.858272066167
3400000,8291.891525219336,8129.5231004824045,8468.89742862936
